,index,address,animal,building_floor,d_to_bank,d_to_coffe,d_to_conv,d_to_metro,elevator,id,loc,metro_count,parking,price,room_floor,room_options,room_size,room_type,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,biddet,d_to_fancy,park,distance_gn,distance_md,d_to_mac,star_bucks,population,elder,elder_ratio,totalbanks,bank_ratio
826,893,서울특별시 용산구 청파동2가,False,5,249.0,211.0,37.0,467.0,False,57c7c0fe12412f1c22479618,"[126.967590908, 37.5467708882]",28.0,False,3700.0,-1,"[0, 1, 7, 8]",19.8,원룸,1,1,0,0,0,0,0,1,1,0,0,0,0,2.35467405936,3.46489222896,6.29086629411,1.85919899001,0.967833986967,0.243402222439,29051.0588235,4234.11764706,0.145747446686,10.75,0.000370038147845
827,894,서울특별시 동대문구 휘경동,False,12,91.0,193.0,89.0,74.0,False,556bcd6be4b030b08b1c5bb2,"[127.057201328, 37.5896452665]",13.0,True,14200.0,10,"[0, 1, 2, 6, 7, 3]",39.6,오피스텔,1,1,1,1,0,0,1,1,0,0,0,0,0,6.96240382225,6.80993596448,10.8221167295,8.60027292876,0.503029375782,0.160133088969,49628.5333333,7085.33333333,0.142767332771,9.85714285714,0.000198618459888
828,895,서울특별시 동대문구 이문동,False,2,94.0,28.0,55.0,313.0,False,57f4d4ad311b7f36236bd3b5,"[127.060353572, 37.5953235494]",15.0,False,5300.0,-1,"[1, 8]",36.3,투룸,0,1,0,0,0,0,0,0,1,0,0,0,0,7.63975021151,7.24241197773,11.5114570082,9.0888302024,0.151053323079,0.10467296999,49628.5333333,7085.33333333,0.142767332771,9.85714285714,0.000198618459888
829,896,서울특별시 동대문구 휘경동,False,2,310.0,439.0,32.0,478.0,False,57f1bb249f33601401c9042d,"[127.060948377, 37.5860069852]",13.0,False,3700.0,0,"[0, 1, 7, 8]",16.5,원룸,1,1,0,0,0,0,0,1,1,0,0,0,0,6.65188676587,6.36491131844,10.5927000049,8.78765038076,0.915602815697,0.681873594376,49628.5333333,7085.33333333,0.142767332771,9.85714285714,0.000198618459888
830,898,서울특별시 성북구 동선동2가,False,6,287.0,79.0,63.0,431.0,True,57bd1ee847ebf404e1885e8a,"[127.020131525, 37.5900105989]",15.0,True,18500.0,4,"[0, 6, 8, 11, 7]",49.5,원룸,1,0,0,0,0,0,1,1,1,0,0,1,0,4.39497291685,6.97658062483,10.0236800696,5.65967648855,0.359451677025,0.145768081699,44489.7142857,6085.61904762,0.136787101138,8.11111111111,0.000182314299863
831,899,서울특별시 성북구 동선동4가,True,5,332.0,205.0,56.0,489.0,True,57e20b474ca9d138014135a0,"[127.020359615, 37.5960255816]",11.0,True,4500.0,4,"[0, 1, 6, 7, 8]",23.1,원룸,1,1,0,0,0,0,1,1,1,0,0,0,0,4.86314219008,7.64522397969,10.6906898367,6.05173004016,0.469226240848,0.360034088429,44489.7142857,6085.61904762,0.136787101138,8.11111111111,0.000182314299863
832,900,서울특별시 관악구 봉천동,False,4,65.0,187.0,113.0,297.0,False,57df83ecd36fe328b8946753,"[126.96513038, 37.4747402885]",7.0,False,4200.0,2,"[0, 1, 3, 7, 9, 11]",14.8,원룸,1,1,0,1,0,0,0,1,0,1,0,1,0,8.90594259189,4.64175637243,4.75219650703,9.85295909817,1.30890241188,0.163126589313,48114.0,6002.81818182,0.124762401418,5.47368421053,0.000113764896091
833,901,서울특별시 광진구 화양동,True,10,372.0,119.0,136.0,292.0,True,56d5647f03c36726c12887b7,"[127.071644097, 37.5468653252]",11.0,True,8500.0,6,"[0, 11, 1, 3, 4, 6, 7, 8]",29.7,오피스텔,1,1,0,1,1,0,1,1,1,0,0,1,0,3.45147216862,1.9862182672,7.60961011128,9.54421487168,0.141402676605,0.6898113638,24506.0,2123.0,0.0866318452624,9.0,0.000367256998286
834,903,서울특별시 성북구 종암동,False,5,215.0,953.0,156.0,645.0,True,57ce7aac1090f82facf21d6f,"[127.036417073, 37.5975966522]",15.0,False,5500.0,4,"[0, 1, 3, 4, 5, 6, 7, 9, 11]",16.5,원룸,1,1,0,1,1,1,1,1,0,1,0,1,0,6.04274266072,8.0064755455,11.0920003093,7.32286417805,0.204804478164,0.476280205561,43444.0,5589.0,0.128648374919,3.0,6.90544148789e-05
835,904,서울특별시 서대문구 남가좌동,False,4,251.0,219.0,221.0,1139.0,True,57aec5e1ef3043500fbdd5f7,"[126.922086958, 37.5815100609]",8.0,False,5300.0,3,[],23.1,원룸,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57344572678,3.5156838725,11.7991066451,4.30766945523,0.292101334651,0.358225582877,43615.0666667,6321.46666667,0.144937682085,7.86666666667,0.000180365806312
