loc,room_type,size,room_floor,building_floor,parking,elevator,heat_type,animal,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,bidet,price
"[127.00665526843308, 37.51211181381135]",아파트,85.1,3,12,True,True,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,30000.0
"[127.0537145619, 37.5652191505]",원룸,19.8,2,3,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2800
"[127.06950802203482, 37.54728826932305]",투룸,33.0,6,8,False,True,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,True,False,10500.0
"[127.0583063969304, 37.59543990535173]",원룸,29.7,3,4,True,True,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,False,False,7500.0
"[127.05517932791784, 37.59298350359633]",투룸,42.9,2,4,True,False,개별 난방,False,True,False,False,False,False,False,True,False,False,False,False,False,False,10200.0
"[126.9522067332, 37.5025012238]",원룸,23.1,3,5,True,False,개별 난방,False,True,True,True,True,False,True,True,True,True,False,False,True,False,4800.0
"[127.04061564962913, 37.563779185564705]",원룸,19.8,2,4,False,False,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,True,False,6000.0
"[127.07626968436236, 37.62192595771153]",1.5룸,26.4,2,5,False,False,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,True,False,8500.0
"[127.0449390642, 37.563298289]",쓰리룸,66.0,1,1,False,False,개별 난방,True,False,False,False,False,False,False,False,False,False,False,False,False,False,5000
"[127.0528934085, 37.5628553072]",쓰리룸,46.2,1,2,False,False,개별 난방,False,True,False,False,False,False,False,False,False,True,False,False,False,False,10000
"[127.05997765896201, 37.5953525727424]",원룸,19.8,2,4,False,False,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,True,False,5500.0
"[127.0610594576, 37.5944762543]",원룸,23.1,1,2,False,False,개별 난방,False,True,True,False,False,False,False,False,True,True,False,False,False,False,3300
"[127.06664378414234, 37.54332552483791]",투룸,46.2,2,3,False,False,개별 난방,False,True,True,False,False,False,False,True,True,True,False,False,True,False,9600.0
"[127.08256491445671, 37.537368868051644]",오피스텔,23.9,9,24,True,True,중앙 난방,False,True,False,False,False,True,False,True,True,False,True,False,True,False,8900.0
"[127.07182095554835, 37.622627915375396]",투룸,46.2,4,5,True,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10500
"[127.08067523606853, 37.62327450865786]",원룸,23.1,5,5,True,False,개별 난방,True,True,True,False,True,True,False,True,True,False,True,False,True,False,5900.0
"[127.08013659943404, 37.62379384420135]",1.5룸,26.4,2,5,True,True,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6400.0
"[126.95029432615526, 37.50079212762181]",원룸,19.8,3,5,False,True,개별 난방,False,True,True,False,True,True,False,False,True,False,True,True,True,False,6600.0
