,Unnamed: 0,id,loc,room_type,size,room_floor,building_floor,parking,elevator,heat_type,animal,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,bidet,price,distance_park,distance_md,distance_gn
1159,1159,5718bb7190f90b758718a1ff,"[127.08436587251802, 37.537079275108695]",오피스텔,39.6,14,15,True,False,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,False,False,11000.0,1.78886991191,13.7841238615,9.3037760152
1160,1160,57ea17f32f1aaf491c7c456c,"[127.06741751089777, 37.54304397383614]",원룸,16.5,2,3,False,False,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,False,False,5000.0,1.29799863248,11.7873581612,7.79868681512
1161,1161,57e35c91e9a985142e3381e8,"[127.0696251161, 37.5466502932]",1.5룸,19.8,6,7,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12600.0,1.61543730697,11.9887352271,8.1848838097
1162,1162,56d56580d7f5c126b74e861e,"[127.07164409693264, 37.546865325200024]",오피스텔,26.4,7,12,True,True,개별 난방,True,True,True,False,True,True,False,True,True,True,False,False,True,False,9000.0,1.65875939047,12.2145440279,8.39227490803
1163,1163,56b1b157bc49a35a927060f6,"[127.06869374281631, 37.54781132507458]",오피스텔,19.8,15,18,True,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,True,7850.0,1.72217614179,11.8700646219,8.15123212289
1164,1164,5632f62529835419e2a7aea5,"[127.08349563241661, 37.5399883215543]",오피스텔,29.7,2,10,True,True,개별 난방,False,True,True,False,False,False,False,True,True,True,False,False,True,False,7800.0,1.91714914978,13.6416529495,9.31308853205
1165,1165,57e8ab80ea59e6657ea266b5,"[127.07842728829016, 37.54504820504169]",투룸,42.9,3,5,False,False,개별 난방,False,False,False,True,False,False,True,False,False,True,False,False,False,False,4500.0,1.80819251811,13.0028163261,8.98798903352
1166,1166,57e640f85648e82b86ae857d,"[127.0867129592419, 37.5394201750322]",원룸,26.4,-1,3,False,False,개별 난방,False,True,True,False,False,False,False,False,True,True,False,False,False,False,4600.0,2.06136403398,14.0120816489,9.63190621229
1167,1167,57bef3e278c93e3bb9bc7651,"[127.07270240573645, 37.54596728350357]",원룸,18.2,7,8,True,True,개별 난방,True,True,True,False,False,True,False,True,True,False,True,False,True,False,8600.0,1.60350796124,12.3447257384,8.45487464342
1168,1168,57eb33282585a250f3e3091b,"[127.08321125980234, 37.54474940310311]",오피스텔,33.0,2,10,True,True,개별 난방,True,True,True,False,False,True,False,True,True,True,False,False,True,False,7800.0,2.15403619343,13.547209833,9.46415444074
1169,1169,57bebf8d7c99980f327fbc2e,"[127.07397365686555, 37.54530335873537]",원룸,16.5,0,3,False,False,개별 난방,False,True,True,True,True,False,False,False,True,True,False,False,False,False,5000.0,1.58857754327,12.4964270973,8.5511908011
1170,1170,57e4c1e39db9a7251e329753,"[127.0681608841, 37.5442292622]",투룸,39.6,2,3,False,False,개별 난방,False,True,True,False,False,False,False,False,True,True,False,False,True,False,7500.0,1.39643777472,11.8543146863,7.927025822
1171,1171,56ced10c48d8145384633169,"[127.07164409693264, 37.546865325200024]",오피스텔,21.4,7,10,True,True,개별 난방,True,True,True,False,True,True,False,True,True,True,False,True,True,False,7500.0,1.65875939047,12.2145440279,8.39227490803
1172,1172,56d5647f03c36726c12887b7,"[127.07164409693264, 37.546865325200024]",오피스텔,29.7,6,10,True,True,개별 난방,True,True,True,False,True,True,False,True,True,True,False,False,True,False,8500.0,1.65875939047,12.2145440279,8.39227490803
1173,1173,57eca4fbc717474966495e1b,"[127.06884246667315, 37.54710485548084]",원룸,29.7,6,8,False,True,개별 난방,False,True,True,False,False,False,False,False,True,True,False,False,True,False,14500.0,1.65675968986,11.8949145207,8.13093620298
1174,1174,57e9fe8634583330ac7599cc,"[127.06971226117261, 37.54301741344003]",원룸,26.4,1,3,False,False,개별 난방,False,True,True,False,False,False,False,True,True,True,False,False,True,False,5000.0,1.28189563955,12.046087031,8.02447263152
1175,1175,57bd42cb0e24f431996534be,"[127.08301652828011, 37.54057611115258]",1.5룸,23.1,2,7,False,True,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,True,False,8600.0,1.90029880451,13.5792541228,9.28432205899
