loc,room_type,size,room_floor,building_floor,parking,elevator,heat_type,animal,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,bidet,price
"[127.0002671171575, 37.563299633404846]",오피스텔,41.3,15,20,True,False,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,True,16200.0
"[127.01882671490684, 37.57023940505359]",원룸,16.5,5,10,False,True,개별 난방,False,True,True,False,True,True,False,True,True,False,True,True,True,False,6600.0
"[127.01226356413592, 37.556051376972626]",원룸,26.4,5,5,True,True,개별 난방,False,True,True,False,False,True,True,True,True,False,True,False,True,False,13000.0
"[126.99472608750594, 37.5559293603985]",투룸,26.4,2,3,False,False,개별 난방,False,False,True,True,True,False,False,True,True,True,False,True,False,False,8500
"[127.0002671171575, 37.563299633404846]",오피스텔,23.1,11,20,True,True,개별 난방,False,True,True,False,False,True,True,True,True,False,True,True,True,True,9200.0
"[126.99058269442813, 37.56563464043599]",원룸,16.5,2,4,False,False,중앙 난방,False,True,False,True,True,True,True,False,False,False,False,False,False,False,4725
"[127.00997758947202, 37.55714360120529]",1.5룸,33.0,4,6,True,True,개별 난방,False,True,True,False,False,True,True,True,True,True,False,False,True,False,11200.0
"[127.0002671171575, 37.563299633404846]",1.5룸,41.3,15,20,True,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,True,16200.0
"[127.0002671171575, 37.563299633404846]",원룸,23.1,10,20,True,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,True,8800.0
"[127.0202416327, 37.5617662044]",1.5룸,39.6,4,5,False,True,개별 난방,False,False,True,False,False,False,False,False,False,True,False,False,False,False,11500.0
"[127.01274751414061, 37.55349249212545]",원룸,33.0,3,5,True,True,개별 난방,False,True,True,False,False,False,False,True,True,True,False,False,True,False,10200.0
"[127.0202416327, 37.5617662044]",1.5룸,39.6,4,5,False,True,개별 난방,False,True,True,False,False,False,False,False,True,True,False,False,False,False,11500.0
