,id,loc,room_type,size,room_floor,building_floor,parking,elevator,heat_type,animal,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,bidet,price
106,57bfb2255dd42d38a6976dd0,"[126.940580820606, 37.473840295748666]",원룸,19.8,4,6,True,False,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,True,False,4000.0
107,57f087b5c7f21002eb89e1ce,"[126.94907902738993, 37.47850788967715]",원룸,16.5,1,4,False,False,개별 난방,False,True,True,False,True,True,False,True,True,False,True,True,True,False,5200.0
108,57ea2b0a1f1a8a3410117575,"[126.964761, 37.473556]",원룸,19.8,1,6,True,False,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,True,False,4600.0
109,558144d8e4b0dffd6a0b514f,"[126.95317840761629, 37.475002855878984]",오피스텔,33.0,5,15,True,True,개별 난방,False,True,True,False,True,True,False,True,True,False,True,False,True,False,13700.0
110,57edcb10b3deb112596c2821,"[126.9623395816, 37.4761089669]",원룸,23.1,3,5,True,True,개별 난방,False,True,True,False,True,True,False,True,True,False,True,True,True,False,4200.0
111,5784c1f7758d2e5bf8203b88,"[126.94791121911226, 37.480031888186595]",원룸,23.1,7,8,True,True,개별 난방,False,True,True,False,True,True,False,True,True,False,True,False,False,False,5500.0
112,57b6e129b82b6a3f7cceed45,"[126.93942245133047, 37.47475152961049]",원룸,18.2,4,5,True,False,개별 난방,False,True,True,True,True,True,True,False,True,False,True,True,True,False,4700.0
113,5789bfd582196c75fead1c31,"[126.96173443390713, 37.47450137091586]",원룸,33.0,1,6,False,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,False,7800.0
114,575e7ae3c2044a26d02d23e0,"[126.95597210790395, 37.47661133127447]",투룸,42.9,1,3,True,False,개별 난방,False,True,True,False,False,False,False,True,False,True,False,False,True,False,9500.0
115,57c65324aba19228806e08cf,"[126.93826419326268, 37.47549336219559]",원룸,23.1,2,4,False,False,중앙 난방,True,True,True,False,True,True,False,True,True,False,True,False,False,False,3530.0
116,55e46a79d2d1ba203403ef3f,"[126.9459257935, 37.4801715536]",원룸,16.5,1,7,False,True,개별 난방,False,True,True,False,True,True,False,True,True,False,True,True,True,False,5600.0
