period,district,dong,population,elder
2016.2/4,송파구,잠실본동,30535,2920
2016.2/4,송파구,잠실4동,30835,3021
2016.2/4,송파구,잠실6동,17723,2069
2016.2/4,송파구,잠실7동,10456,1641
2016.2/4,송파구,잠실2동,37082,2603
2016.2/4,송파구,잠실3동,37138,4121
2016.2/4,강동구,소계,455444,52573
2016.2/4,강동구,강일동,34566,3855
2016.2/4,강동구,상일동,17006,1793
2016.2/4,강동구,명일1동,23222,2508
2016.2/4,강동구,명일2동,18571,1724
2016.2/4,강동구,고덕1동,16461,1589
2016.2/4,강동구,고덕2동,9072,1377
2016.2/4,강동구,암사2동,16011,1746
2016.2/4,강동구,암사3동,19297,1780
2016.2/4,강동구,천호1동,29726,3966
2016.2/4,강동구,천호3동,25980,3631
2016.2/4,강동구,성내1동,19665,2176
2016.2/4,강동구,성내2동,26206,3352
2016.2/4,강동구,성내3동,25126,2809
2016.2/4,강동구,둔촌1동,19114,1597
2016.2/4,강동구,둔촌2동,28847,3215
2016.2/4,강동구,암사1동,37936,4665
2016.2/4,강동구,천호2동,36617,4861
2016.2/4,강동구,길동,52021,5929
