week1_pop,comp_score,rank1,rank2,rank3,rank4,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,director_score,act_score,pre_score,viewer_num,like_see,screen1
24156,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.5,36,793,101
20626,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.68,430,8543,70
14056,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,72,9.64,141,2564,77
17743,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.48,27,103,87
20376,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.88,625,11575,124
4979,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.01,1878,11088,19
10881,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60,9.29,262,332,76
7120,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.8,35,571,42
6695,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.25,56,1064,7
19722,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.39,553,3868,195
18243,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,9.62,66,1247,197
13961,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,51,9.15,91,1267,64
17342,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,9.04,77,430,156
15424,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8.62,89,758,169
14870,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.89,45,753,78
1653,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.2,41,315,4
15713,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7.16,510,1271,227
11591,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,9.65,49,735,48
12435,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,186,6.97,546,1297,129
12972,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,9.54,68,754,104
5746,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,18,356,32
8766,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.16,25,227,10
10507,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07,128,1405,15
10940,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.02,231,272,59
6362,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8.31,67,171,27
11595,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8.25,61,2224,81
7180,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,92,9.12,84,1766,71
11513,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8.47,53,372,178
9963,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7.62,58,673,141
9208,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.33,48,291,39
10438,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,92,7.78,234,479,93
8525,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,105,19
9127,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,41,9.82,51,1309,24
8158,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5.48,31,210,82
8154,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,9.43,82,1476,74
8001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.47,137,2178,55
6251,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.64,44,191,73
5174,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,37,377,40
6876,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.32,95,382,92
6390,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.88,34,449,70
7030,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,8.05,38,275,60
7706,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,6.29,194,838,54
5949,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,43,46
6094,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.22,227,1013,91
546764,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,141,8.97,1749,7290,562
2472,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33,27,250,28
2852,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.91,11,195,17
3906,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,8.79,28,220,28
4457,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,88,5.5,2,34,50
4480,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,9.16,51,635,56
4243,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,33,251,1
4276,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,121,9.73,30,630,64
249618,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,59,371,8.22,1864,20348,774
4229,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8.59,37,156,26
2502,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,9.52,21,123,10
4261,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.58,12,54,19
3411,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.34,41,682,29
4438,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,8.31,58,388,94
1670,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.71,28,190,19
2114,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,9.4,15,244,15
3696,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.85,124,343,30
3937,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.09,11,33,9
3499,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,9.7,57,189,43
